num_Distr,color,mouse.time,,,,,,
6,blue,1.5902097,,,,,,
6,blue,2.0595534,,,,,,
6,blue,2.1100155,,,,,,
6,blue,1.1953116,,,,,Participant 1,
6,blue,1.8235159,,,,,Mean RT of Blue Target,1.721051108
6,blue,1.6239822,,,,,Mean RT of Orange Target,1.959782412
6,blue,1.1919348,,,,,,
6,blue,1.8750914,,,,,,
6,blue,1.7422346,,,,,Mean RT of set size 6,1.62390635
6,blue,1.7579152,,,,,Mean RT of set size 10,1.810723192
6,blue,1.2754237,,,,,,
6,blue,1.2416882,,,,,,
10,blue,2.0424147,,,,,,
10,blue,1.7403291,,,,,,
10,blue,2.6292386,,,,,,
10,blue,1.7908071,,,,,,
10,blue,2.1580589,,,,,,
10,blue,1.2245305,,,,,,
10,blue,1.7579537,,,,,,
10,blue,1.5916823,,,,,,
10,blue,1.356126,,,,,,
10,blue,2.3060398,,,,,,
10,blue,1.307857,,,,,,
10,blue,1.8091023,,,,,,
6,blue,1.8252615,,,,,,
6,orange,2.516859,,,,,,
10,orange,2.0040113,,,,,,
6,orange,2.4213841,,,,,,
10,orange,1.891341,,,,,,
6,orange,2.0250972,,,,,,
10,orange,1.9074567,,,,,,
6,orange,1.4072822,,,,,,
10,orange,1.6919891,,,,,,
6,orange,1.7082689,,,,,,
10,orange,1.9743813,,,,,,
6,orange,2.6404955,,,,,,
10,orange,2.1436135,,,,,,
6,orange,1.9729104,,,,,,
10,orange,2.0724607,,,,,,
6,orange,1.8745088,,,,,,
10,orange,1.9741742,,,,,,
6,orange,1.7300291,,,,,,
10,orange,2.0742509,,,,,,
6,orange,1.7591475,,,,,,
10,orange,1.4150219,,,,,,
6,orange,1.9907418,,,,,,
10,orange,1.8576369,,,,,,
6,orange,1.9091581,,,,,,
10,orange,2.7390309,,,,,,
6,orange,1.2933093,,,,,,
