num_Distr,color,mouse.time,,,,,,,,,,num_Distr,mouse.time
6,blue,2.030501,,,,,,,,,,6,2.030501
10,blue,1.9963239,,,,,,,,,,6,1.5646058
6,blue,1.5646058,,,,,,,,,,6,1.4648573
10,blue,1.9807893,,,,,,,,,,6,2.4130689
6,blue,1.4648573,,,,,,,,,,6,1.9138467
10,blue,2.1296745,,,,,,,,,,6,1.8074219
6,blue,2.4130689,,,,,,,,,,6,1.9637747
10,blue,1.4806361,,,,,,,Participant 5,,,6,1.9460644
6,blue,1.9138467,,,,,,,Mean RT of Blue Target,1.859297348,,6,2.4135931
10,blue,2.2961802,,,,,,,Mean RT of Orange Target,1.92386724,,6,2.145892
6,blue,1.8074219,,,,,,,,,,6,1.6301878
10,blue,1.6296718,,,,,,,,,,6,1.6637283
6,blue,1.9637747,,,,,,,Mean RT of set size 6,1.914362577,,6,1.7963386
10,blue,2.2134488,,,,,,,Mean RT of set size 10,1.866903654,,6,2.555978
6,blue,1.9460644,,,,,,,,,,6,1.5480716
10,blue,1.5468951,,,,,,,,,,6,2.3462214
6,blue,2.4135931,,,,,,,,,,6,1.5801117
10,blue,1.5474976,,,,,,,,,,6,1.7962349
6,blue,2.145892,,,,,,,,,,6,2.3966788
10,blue,1.5462985,,,,,,,,,,6,1.5973639
6,blue,1.6301878,,,,,,,,,,6,1.7467503
10,blue,1.4646572,,,,,,,,,,6,2.2134857
6,blue,1.6637283,,,,,,,,,,6,1.6136137
10,blue,1.8964802,,,,,,,,,,6,1.7805675
6,blue,1.7963386,,,,,,,,,,6,2.1304392
6,orange,2.555978,,,,,,,,,,6,1.7140298
10,orange,1.7125405,,,,,,,,,,10,1.9963239
6,orange,1.5480716,,,,,,,,,,10,1.9807893
10,orange,2.0959234,,,,,,,,,,10,2.1296745
6,orange,2.3462214,,,,,,,,,,10,1.4806361
10,orange,1.6964631,,,,,,,,,,10,2.2961802
6,orange,1.5801117,,,,,,,,,,10,1.6296718
10,orange,1.6978976,,,,,,,,,,10,2.2134488
6,orange,1.7962349,,,,,,,,,,10,1.5468951
10,orange,1.8804882,,,,,,,,,,10,1.5474976
6,orange,2.3966788,,,,,,,,,,10,1.5462985
10,orange,2.2953765,,,,,,,,,,10,1.4646572
6,orange,1.5973639,,,,,,,,,,10,1.8964802
10,orange,1.7307755,,,,,,,,,,10,1.7125405
6,orange,1.7467503,,,,,,,,,,10,2.0959234
10,orange,1.9643889,,,,,,,,,,10,1.6964631
6,orange,2.2134857,,,,,,,,,,10,1.6978976
10,orange,1.4788706,,,,,,,,,,10,1.8804882
6,orange,1.6136137,,,,,,,,,,10,2.2953765
10,orange,2.3152756,,,,,,,,,,10,1.7307755
6,orange,1.7805675,,,,,,,,,,10,1.9643889
10,orange,2.3291375,,,,,,,,,,10,1.4788706
6,orange,2.1304392,,,,,,,,,,10,2.3152756
10,orange,1.8799971,,,,,,,,,,10,2.3291375
6,orange,1.7140298,,,,,,,,,,10,1.8799971
