delay,freq,condition,textbox.text,,,,
0.1,1000,exp,150,,,,
0.1,1000,exp,100,,,,
0.7,1000,exp,500,,,Mean of Estimated Delay for Expected Condition,220
0.4,1000,exp,200,,,Mean of Estimated Delay for Unexpected Condition,280.5769231
0.4,1000,exp,350,,,,
0.7,1000,exp,550,,,Difference in interval estimates = ,-60.57692308
0.7,1000,exp,600,,,,
0.4,1000,exp,100,,,,
0.1,1000,exp,150,,,,
0.7,1000,exp,200,,,,
0.4,1000,exp,100,,,,
0.4,1000,exp,150,,,,
0.1,1000,exp,100,,,,
0.4,1000,exp,150,,,,
0.1,1000,exp,100,,,,
0.7,1000,exp,100,,,,
0.1,1000,exp,200,,,,
0.7,1000,exp,250,,,,
0.7,1000,exp,400,,,,
0.7,1000,exp,300,,,,
0.1,1000,exp,170,,,,
0.4,1000,exp,250,,,,
0.4,1000,exp,250,,,,
0.1,1000,exp,190,,,,
0.7,1000,exp,200,,,,
0.1,1000,exp,100,,,,
0.4,1000,exp,100,,,,
0.4,1000,exp,180,,,,
0.7,1000,exp,250,,,,
0.7,1000,exp,250,,,,
0.7,1000,exp,200,,,,
0.1,1000,exp,200,,,,
0.1,1000,exp,200,,,,
0.1,1000,exp,100,,,,
0.4,1000,exp,250,,,,
0.4,1000,exp,250,,,,
0.7,1000,exp,200,,,,
0.1,1000,exp,200,,,,
0.7,1000,exp,350,,,,
0.7,1000,exp,450,,,,
0.1,1000,exp,150,,,,
0.4,1000,exp,230,,,,
0.4,1000,exp,200,,,,
0.4,1000,exp,100,,,,
0.1,1000,exp,200,,,,
0.7,1000,exp,500,,,,
0.1,1000,exp,300,,,,
0.4,1000,exp,200,,,,
0.7,1000,exp,200,,,,
0.4,1000,exp,150,,,,
0.7,1000,exp,300,,,,
0.1,1000,exp,100,,,,
0.1,1000,exp,200,,,,
0.4,1000,exp,200,,,,
0.7,1000,exp,200,,,,
0.1,1000,exp,100,,,,
0.1,1000,exp,240,,,,
0.7,1000,exp,160,,,,
0.4,1000,exp,150,,,,
0.7,1000,exp,100,,,,
0.4,1000,exp,140,,,,
0.4,1000,exp,170,,,,
0.1,1000,exp,100,,,,
0.4,1000,exp,130,,,,
0.4,1000,exp,150,,,,
0.4,1000,exp,200,,,,
0.7,1000,exp,200,,,,
0.1,1000,exp,100,,,,
0.1,1000,exp,210,,,,
0.7,1000,exp,230,,,,
0.1,1000,exp,130,,,,
0.7,1000,exp,160,,,,
0.1,1000,exp,130,,,,
0.7,1000,exp,120,,,,
0.7,1000,exp,500,,,,
0.4,1000,exp,450,,,,
0.4,1000,exp,300,,,,
0.1,1000,exp,600,,,,
0.4,1000,exp,200,,,,
0.1,1000,exp,350,,,,
0.7,1000,exp,180,,,,
0.1,400,unexp,100,,,,
0.7,400,unexp,350,,,,
0.4,400,unexp,200,,,,
0.7,400,unexp,350,,,,
0.4,400,unexp,250,,,,
0.1,400,unexp,350,,,,
0.7,400,unexp,500,,,,
0.1,400,unexp,200,,,,
0.4,400,unexp,200,,,,
0.7,400,unexp,400,,,,
0.1,400,unexp,300,,,,
0.4,400,unexp,350,,,,
0.1,400,unexp,200,,,,
0.4,400,unexp,400,,,,
0.7,400,unexp,230,,,,
0.4,400,unexp,200,,,,
0.7,400,unexp,200,,,,
0.1,400,unexp,300,,,,
0.7,400,unexp,350,,,,
0.4,400,unexp,150,,,,
0.1,400,unexp,230,,,,
0.7,400,unexp,450,,,,
0.4,400,unexp,100,,,,
0.1,400,unexp,125,,,,
0.4,400,unexp,210,,,,
0.7,400,unexp,350,,,,
0.1,400,unexp,350,,,,
